의료기관명,주소
윤치료놀이상담센터,서울 서초구 방배로 119
서초구 방배 보건지소,서울 서초구 방배로 173
아빠의치과의원,서울 서초구 서초중앙로 225
프라임치과,서울 서초구 서초중앙로 115
피아노치과,서울 서초구 서초중앙로 117
나무산부인과,서울 서초구 서초중앙로 113
강남리즈의원,서울 구로구 도림로23길 2
푸른숲심리상담센터,서울 서초구 서초대로 335
정신분석심리상담센터 마음사이,서울 서초구 강남대로 455
전통증의학과의원,서울 구로구 개봉로20길 6
동현한의원,서울 서초구 강남대로 221
이든약국,서울 서초구 남부순환로 2636
서래치과의원,서울 서초구 서래로 49
뉴연세치과의원.,서울 성동구 아차산로7길 7
예흠 소아과,서울 강동구 아리수로97길 19
경희아이한의원,서울 은평구 진관3로 20
김승수 치과,서울 서초구 서초대로65길 13-10
서울소아청소년과의원,서울 서초구 헌릉로8길 9-8
미래사랑 산부인과의원,서울 구로구 도림로23길 2
뉴욕말씀치과의원,서울 구로구 도림로 79
서초구정신건강증진센터,서울 서초구 염곡말길 9
반포한의원,서울 서초구 신반포로 165
우리의원,서울 구로구 공원로7길 40
시민치과의원,서울특별시 구로구 도림로 90
우리네한의원/서울의료복지사회적협동조합 ,서울 영등포구 대림로 76
임플라인치과의원.,서울 성동구 아차산로 49
서초 허그맘허그인 심리상담센터,서울 서초구 방배로 73
동심소아과,서울특별시 서초구 서초대로 325
서초아가페의원,서울 서초구 고무래로 90-7
변혜란 소아과,서울 서초구 반포대로 58
하얀미소치과의원,서울 구로구 고척로 239
중앙미치과의원,서울특별시 구로구 부일로 873
홍익한의원,서울 구로구 개봉로3길 41
마음의 지도,서울 강서구 강서로 186
폴리한의원,서울특별시 강서구 강서로 391
푸른온누리약국,서울특별시 강서구 방화대로34길 92
서울행복한아이치과,서울특별시 강서구 방화대로 294
열린치과의원.,서울 성동구 상원길 47-1
반포키즈소아청소년과의원,서초구  신반포로 257 뉴타운 4층
포인트의원,서울 구로구 구로동로 115
구로에이스신경외과의원,서울 구로구 구로동로 115
연세늘가는치과의원.,서울 성동구 성수일로 39
미드치과,서울 구로구 경인로 323
아침나무 한의원,서울 영등포구 시흥대로 663
공감치과,서울 구로구 디지털로30길 28
안심파라메딕의원.,서울 성동구 성수일로 20
윤한의원,서울 구로구 구로동로28길 87
가리봉의원,서울 구로구 남부순환로105길 42
화이트 치과,서울 구로구 고척로 123
동서마리오한의원,서울 구로구 디지털로30길 28
손치과.,서울 성동구 상원길 65
이진오 소아과,서울특별시 서초구 서운로 39 6층
"김일중 내과 , 소아과",서울 서초구 효령로 396
아이숲소아청소년과의원,서울특별시 서초구 헌릉로8길 45
카모마일 의원,서울 서초구 효령로74길 4
늘푸른 한의원,서울 구로구 개봉로20길 6
애경연세소아청소년과의원(폐업),서울 구로구 구로중앙로 152
내아이발달센터,서울 서초구 동산로 32
행복드림의원,서울 서초구 동산로 64
튼튼소아청소년과,서울 서초구 동산로 64
남궁한의원,서울 구로구 구로동로 77-1
정아동청소년발달센터.,서울 성동구 금호로 147
청담소아청소년과의원.,서울특별시 성동구 독서당로 302
고척성모의원,서울 구로구 중앙로15길 29
행복치과,서울 구로구 구로동로26길 119
사람중심치과,서울 구로구 디지털로27길 127
봄이비인후과,서울 서초구 강남대로 48-6
한신의원,서울 구로구 경인로 306
연세봉봉소아청소년과,서울 구로구 경인로59길 8
호산의원,서울 구로구 구로동로 215-1
심재경한의원,서울 구로구 가마산로 229
현치과,서울 구로구 구로동로 147
구로성모의원,서울 구로구 가마산로 220
우리모두들치과병원(용산으로 이전),서울 구로구 새말로 15
삼성리더스치과,서울 구로구 중앙로10길 7
화인한의원,서울 구로구 경인로 382
현대한의원,서울 구로구 개봉로20길 78
현대한의원,서울 구로구 개봉로20길 78
경희한의원,서울 구로구 구로중앙로28길 65
구로제일의원,서울 구로구 공원로8길 23
내곡소아청소년과,서울 서초구 청계산로 189
서울소아청소년과,서울 서초구 헌릉로8길 9-8
정인과 정신건강의학과의원,서울 구로구 가마산로 205
박산부인과의원(협동의원),서울 구로구 구로동로 35
하늘경희한의원,서울 구로구 구로동로 35
경희플러스한의원,서울 구로구 구로중앙로 152
디딤쥬니어정신건강의학과의원,서울특별시 서초구 동작대로 118 방배동예다인프라자빌딩 
쉐르빌약국,서울특별시 영등포구 당산로45길 1
선화의원 소아청소년과,서울특별시 서초구 방배로25길 4 
신숙재 심리상담센터,서울 영등포구 영신로 259
별*콩 언어발달센터,서울 서대문구 간호대로2길 22
키즈앤패밀리치과,서울특별시 영등포구 도림로 190
새싹사랑치과의원(키즈치과),서울 영등포구 여의대방로 25
사람사랑치과의원(어린이치과),서울특별시 영등포구 여의대방로 95
라온365온누리 약국,서울 강서구 화곡로 166
유진내과소아과,서울특별시 강서구 양천로 677
신민호내과소아과,서울특별시 강서구 양천로 684
서덕한의원,서울특별시 구로구 디지털로31길 90
권피부과,서울 구로구 구로중앙로 68
연세정형외과의원,서울 구로구 구로중앙로 68
아이투비소아청소년과,서울특별시 서초구 방배로 234 우신빌딩 
아이투비산부인과의원,서울 서초구 방배로 234
우면메디칼약국,"서초구 태봉로 62, 1층 105호"
우면 정형외과,서초구 태봉로 62 2층
조대엽 치과의원,서울 구로구 경인로25길 5
코끼리아동청소년발달센터,서울특별시 금천구 시흥대로 399
금천언어심리발달센터,서울특별시 금천구 시흥대로 414
마곡열린약국,서울특별시 강서구 방화대로 294
김은진 소아청소년과,서울 강서구 수명로 80
고려튼튼정형,서울 구로구 구로동로 153
좋은아침한의원,서울 구로구 디지털로 285
가야 소아청소년과,서울특별시 서초구 방배로 225
연세안과의원,서울 구로구 고척로 142-1
조은성모안과,서울 구로구 중앙로 60
구로고대병원건간증진센터,서울 구로구 구로동로 148
마음심박종찬한의원,서울 구로구 경인로 572
구로경희한의원,서울 구로구 구로동로 184
구로중앙외과의원,서울 구로구 구로동로 188
서울안과 의원,서울 구로구 남부순환로97길 3
하나아동 발달 센터,서울 영등포구 여의대방로 11
연세더순수치과,서울특별시 영등포구 문래로 87
하늘샘한의원,서울 구로구 신도림로 7
"최흉부외과(정형외과,내과)의원",서울 구로구 개봉로 48
마음건강센터,서울 동작구 노량진로 140
연세다솜치과,서울 구로구 부일로 855
다사랑 한의원,서울 구로구 개봉로 67
경희희망 한의원,서울 구로구 고척로 132
연세덕원치과의원,서울 영등포구 당산로 77
반듯한치과,서울 영등포구 당산로 159
생기한의원,서울 구로구 경인로 661
윤치과의원,서울 구로구 서해안로 2338
연세연합의원,서울 구로구 서해안로 2338
베스트 건강검진센터/베스트 내과,서울 구로구 구로중앙로 134
best MAC 내과/가정의학과,서울 구로구 디지털로 288
연세장안과의원,서울 서대문구 수색로 56
강내과,서울 구로구 중앙로8길 30
로뎀나무 발달연구소,서울 영등포구 당산로 34
윤정석치과의원,서울특별시 영등포구 당산로 34
연세필의원,서울 구로구 경인로 31-28
송기산내과의원,서울특별시 구로구 오류로8길 26
성심한의원,서울 구로구 구로중앙로28길 3
구로세란의원,서울 구로구 디지털로27길 109
구로 경희 한의원,서울 구로구 구로동로 184
맘스퀘어 산후조리원,서울 구로구 경인로 240
삼성정형외과 의원,서울 구로구 개봉로 66
태영성모의원,서울 구로구 새말로 83
드림치과의원,서울 구로구 경인로 619-3
가지런이 교정전문치과 의원,서울특별시 구로구 남부순환로97길 3
가인치과 의원,서울 구로구 개봉로 71
더고운의원 피부과 ,서울특별시 구로구 경인로 216
참바른한의원,서울 구로구 새말로 34
해온한의원,서울 구로구 새말로 97
자이가정의학과,서울 영등포구 당산로 26
구로이앤치과,서울 구로구 구로동로 240
아임플치과의원,서울 구로구 새말로 97
구로성심치과의원,서울 구로구 중앙로 10-15
늘벗정신건강의학과의원,서울특별시 구로구 경인로 661
이장훈 내과의원,서울 구로구 개봉로17가길 26
박철수 내과의원,서울 구로구 개봉로 28
구로 우리들 의원,서울 구로구 구로중앙로 57
아이티치과,서울 구로구 디지털로 272
김지수피부과의원,서울특별시 구로구 개봉로 57-1
G센텀의원(이비인후과/내과),서울 구로구 디지털로 300
송소아과의원,서울특별시 구로구 구일로4길 46
천왕 한의원,서울 구로구 천왕로 32
조은치과 의원,서울특별시 구로구 경인로40길 34
밝은미소 치과의원 (폐업),서울 구로구 경인로40길 41
덕인내과,서울 구로구 구일로4길 46
민전산후조리원,서울 구로구 경인로 322
위드치과의원,서울 영등포구 여의나루로 53-1
서울엘치과,서울 구로구 구로중앙로 134
인의한의원,서울특별시 구로구 구로동로22길 1
늘푸른치과의원,서울 구로구 부일로1길 26-13
한의수 안과의원,서울 구로구 개봉로 23
강북구보건소/정신건강증진센터,서울 강북구 삼양로19길 154
강북구보건소/삼각산분소,서울 강북구 삼양로19길 154
"응급,당직의료기관/선내과의원",서울 강북구 삼양로 469
"응급,당직의료기관/한사랑의원",서울 강북구 인수봉로 142
"응급,당직의료기관/서울현대병원",서울 강북구 도봉로 374
"응급,당직의료기관/햇빛병원",서울 강북구 도봉로 74
"응급,당직의료기관/신일병원",서울 강북구 덕릉로 73
"응급,당직의료기관/대한병원",서울 강북구 도봉로 301
우리아이학습심리센터,서울특별시 영등포구 선유로 76
송파아동가족상담센터,서울 송파구 마천로65길 4
상쾌한이비인후과(폐업 3/31),서울 구로구 구로중앙로 152
고궁한의원,서울 구로구 신도림로 16
연세사랑치과의원,서울 구로구 천왕로 36
심야운영약국/희경약국,서울 강북구 솔매로 108
심야운영약국/소원약국,서울 강북구 도봉로 205
심야운영약국/종로태평양약국,서울 강북구 오패산로 130
심야운영약국/시대약국,서울 강북구 솔샘로 227
심야운영약국/삼일약국,서울 강북구 삼양로 241
심야운영약국/국민약국,서울 강북구 숭인로 55-1
심야운영약국/늘푸른평강약국,서울 강북구 한천로 1043
심야운영약국/수유동약국,서울 강북구 수유로 83
심야운영약국/요나약국,서울 강북구 솔샘로 254
심야운영약국/생수당약국,서울 강북구 오패산로52길 51
심야운영약국/노약국,서울 강북구 도봉로 174
심야운영약국/늘푸른약국,서울 강북구 월계로7나길 9
심야운영약국/이원약국,서울 강북구 삼양로 244
서울앤연세이비인후과,서울 영등포구 당산로45길 1
웃는아이소아청소년과의원,서울특별시 영등포구 도신로29사길 1
문희식내과의원,서울 구로구 경인로 201
신숙재심리상담연구소,서울 영등포구 영신로 259
로뎀나무 발달연구소,서울 영등포구 당산로 34
미소약국,서울특별시 영등포구 문래로 83 아라비즈타워 2층
무지개 약국,서울특별시 영등포구 선유로 76
김&홍안과의원,서울 구로구 구로중앙로 68
늘푸른소아청소년과의원,서울특별시 구로구 구로중앙로 68
굿모닝의원(구 참소아청소년과의원),서울특별시 구로구 개봉로3길 76
장윤주산부인과 의원,서울 구로구 남부순환로97길 3
서울제이소아청소년과 의원,서울특별시 강남구 언주로 309
이화새빛 아동발달센터,서울특별시 송파구 양재대로62길 8
두이비안한의원,서울 영등포구 당산로 132
뉴슈로스 의원,서울 영등포구 양평로 12
바른치과의원,서울 구로구 구로중앙로 68
김우종 치과의원,서울특별시 구로구 개봉로 17-1
아리심리상담센터,서울특별시 송파구 오금로 519
신새별약국,서울특별시 영등포구 도림로 487-1
금아한의원,서울 영등포구 영등포로 129
연한의원,서울 구로구 구로동로 168
햇빛치과의원,서울특별시 구로구 경인로19가길 14-10
연세수이비인후과의원,서울특별시 구로구 개봉로 49
AK 정안과의원,서울 구로구 구로중앙로 152
연세원치과의원,서울 영등포구 양산로7길 3
로이치과의원,서울특별시 구로구 디지털로 306
연세U치과,서울 구로구 남부순환로97길 12
수피부과의원,서울 구로구 개봉로 57
고만성소아과의원,서울특별시 강남구 개포로 615
미연세치과의원 ,서울 영등포구 당산로44길 3
이웃사랑 치과,서울 구로구 구로중앙로28길 65
덕산산부인과,서울 구로구 경인로 226-22
이앤치과,서울 구로구 경인로 176
여영구 소아과,서울특별시 강남구 선릉로129길 22
서울유엔치과의원,서울 용산구 한남대로 76
서울앤치과의원,서울 용산구 우사단로 47
대한아토피협회,서울 강서구 양천로 510
서울열린치과.,서울 성동구 뚝섬로 400
독일웰 치과 의원(중복),서울 성동구 성수이로 147
아이통곡모유육아상담실영등포점,서울 영등포구 선유로13길 5
햇살가득한치과의원,서울특별시 영등포구 선유로 59
메세나연세소아청소년과의원,서울 마포구 양화로 45
수플러스치과,서울 구로구 도림로 73
수치과의원,서울 구로구 도림로 69
오복만세치과,서울 구로구 디지털로31길 20
이튼튼치과,서울 구로구 디지털로32가길 25
웰티스 치과,서울 구로구 구로동로 130-1
서울에이스치과의원,서울 구로구 도림로 81
서울웃는얼굴치과의원,서울 구로구 디지털로 271
미플랜 치과 의원.,서울 성동구 뚝섬로 379
서울B&B치과의원.,서울 성동구 성수이로 118
서울미소 치과의원.,서울 성동구 뚝섬로 388
서울 보스턴 치과의원.,서울 성동구 뚝섬로 389
뉴연세 치과 의원(중복).,서울 성동구 아차산로7길 7
이정록 한의원,서울 구로구 오리로 1294
J여성병원 소아청소년과,서울특별시 서대문구 통일로 442
예손약국,서울 영등포구 영중로 133
김철규 치과.,서울 성동구 왕십리로 92
열린치과.,서울 성동구 상원길 47-1
드림약국타임스퀘어점,서울특별시 영등포구 영중로 15
둥지약국	,서울 영등포구 영중로 31
영등포 한방병원,서울 영등포구 영신로34길 5
밝은이 안과의원,서울 구로구 경인로 193
손치과(중복).,서울 성동구 상원길 73
연세현Jr치과.,서울 성동구 상원길 48-1
가족사랑소아청소년학습증진센타,서울 영등포구 양평로 48
아이치과의원,서울특별시 강남구 개포로82길 7
소소아과,서울 송파구 위례광장로 193
가람 온누리약국,서울 강서구 공항대로67길 29-26
애플치과,서울특별시 영등포구 국제금융로8길 19
이현치과의원.,서울 성동구 한림말길 50
이창영치과의원.,서울 성동구 독서당로 187
이안치과의원.,서울 성동구 장터1길 2
이사랑치과의원.,서울 성동구 장터길 31
유노부부치과의원.,서울 성동구 독서당로40길 39
웰치과의원.,서울 성동구 독서당로 302
우리들치과의원.,서울 성동구 한림말길 56
와인치과의원.,서울 성동구 독서당로 220
올치과의원.,서울 성동구 금호로 107
연세탑치과의원.,서울 성동구 장터길 10
연세유라인치과의원.,서울 성동구 장터길 33
스타키즈치과의원.,서울 성동구 독서당로 223
성심부부치과의원.,서울 성동구 독서당로 292
서울미플란트치과의원.,서울 성동구 장터길 34
서울미소드림치과의원.,서울 성동구 난계로 36
밝은얼굴치과의원.,서울 성동구 한림말3길 20
미래치과의원.,서울 성동구 한림말길 31
문치과의원.,서울 성동구 독서당로 272
모든이치과의원.,서울 성동구 금호로 102
마리치과의원(폐업),서울 성동구 동호로 93
리빙치과의원.,서울 성동구 장터길 20
독일윤치과의원.,서울 성동구 독서당로 223
세원영유아아동상담센터,서울 마포구 월드컵북로2길 93
송봉근 뉴하트 내과.,서울 성동구 아차산로 92
우리연합내과소아과의원,서울특별시 영등포구 선유로 70
피브로한의원,서울 영등포구 양평로 64
신경혜발달상담센터,서울특별시 강남구 밤고개로21길 48
한국아동발달센터 마곡센터,서울특별시 강서구 마곡중앙5로 87
국제아동발달클리닉,서울시 강서구 강서로 17길 25 
해밀아동발달센터,서울특별시 강서구 금낭화로 135
뉴욕수치과의원.,서울 성동구 한림말길 39
김용래치과의원.,서울 성동구 독서당로 200
프랜드정신건강의학과의원.,서울 성동구 왕십리로 315
우리소아청소년과의원,서울특별시 강남구 밤고개로21길 8
남서울치과의원,서울특별시 영등포구 신풍로 19
유앤아이의원.,서울 성동구 왕십리로 315
금호치과의원.,서울 성동구 금호산길 67
그린치과의원.,서울 성동구 동호로 100
건강한소아청소년과의원,서울특별시 강서구 강서로62길 98
신윤혜 소아청소년과의원,서울특별시 강서구 강서로 242
마곡 메디칼약국,서울특별시 강서구 마곡중앙5로 81
연세네오소아청소년과의원,서울특별시 강서구 마곡중앙5로 81
류운석 내과의원,서울 영등포구 선유로 63
샘치과의원,서울시 용산구 독서당로 65-3 언고오피스텔 2층
박은주치과의원,서울시 용산구 한남대로21길 9
박영진치과의원,서울시 용산구 보광로 19
UMD칠드런어린이치과,서울특별시 강남구 도곡로 405
제일언어클리닉,서울 서대문구 수색로 56
윤치과의원,서울 용산구 두텁바위로 6-1
서울일미치과의원,서울 용산구 한강대로 259
서울휴치과의원,서울특별시 용산구 후암로 9 1층(후암동)
백합의원,서울특별시 용산구 후암로 35 
대남의원,서울 용산구 후암로 45-1
랜드엘치과의원,서울시 용산구 청파로 74
굿모닝치과의원.,서울 성동구 독서당로 335
고운미소치과의원.,서울 성동구 독서당로 434
"개명-미소치과,추가조사중.강남치과의원.",서울 성동구 독서당로 381
행당성모안과의원.,서울 성동구 행당로 101
한빛안과의원.,서울 성동구 장터길 45-2
최비뇨기과의원.,서울 성동구 독서당로 292
정희수산부인과의원.,서울 성동구 독서당로 302
윤안과의원.,서울 성동구 독서당로 300
옥수행복한내과의원.,서울 성동구 한림말길 56
안진균피부과의원.,서울 성동구 독서당로 302
아침이비인후과의원.,서울 성동구 독서당로40길 5
세일의원(폐업).,서울 성동구 독서당로 296
연세어린이치과,서울특별시 송파구 송파대로 98
래안치과의원,서울시 용산구 한강대로 288 2층
더블유스타일 치과의원,서울 용산구 백범로 341
대원치과의원,서울 용산구 이태원로 169
내이치과의원,서울시 용산구 한강대로 92
전약국,서울 용산구 보광로 125
나비드치과의원,서울시 용산구 한남대로21길 17 
김영주치과의원,서울시 용산구 이촌로18길 3
구창서 치과의원,서울 용산구 이촌로 248
정지은 한의원,서울 동대문구 망우로 74
현대중앙의원(코로나19 전화상담/처방 의원),서울특별시 동대문구 사가정로 110
(정릉동) [영유아 건강검진 기관] 열린소아청소년과의원,서울특별시 성북구 정릉로 306
호산여성병원 소아청소년과,서울특별시 강남구 언주로 871
 아이엔 여기한의원,서울특별시 강남구 선릉로131길 12
CDC 어린이 치과병원 ,서울특별시 강남구 학동로97길 11
숙명 아동청소년 상담센터 도곡점,서울특별시 강남구 언주로30길 27
굿모닝치과의원,용산구 이촌로 264
반짝반짝 어린이 치과의원,서울특별시 동대문구 사가정로 122
연세바른이 교정치과,서울 동대문구 답십리로 287
고래한의원,서울 동대문구 장한로 137
여해한의원,서울 동대문구 장한로 166
코코메디의원,서울 동대문구 장한로 166
덕화당 한의원,서울 동대문구 답십리로 293
임용호 내과의원,서울 동대문구 답십리로 293
현대영상의학과의원,서울 동대문구 장한로 39
애플치과,서울 동대문구 장안벚꽃로 107
미고의원 -피부과,서울 동대문구 답십리로 304
선재한의원,서울 동대문구 장안벚꽃로 107
청담이든소아청소년과의원,서울특별시 강남구 삼성로 620
허내과,서울 동대문구 이문로 136
반석치과의원,서울 동대문구 한천로58길 75-13
바른정형외과,서울 동대문구 이문로 186
메디홈즈의원,서울 동대문구 회기로 175
온가족 한의원,서울 동대문구 한천로 479
지(知)와 감(感) 심리상담센터,서울 중구 동호로8길 13
더드림 소아과의원,서울 중구 다산로36길 11
서울발달심리센터,서울특별시 강남구 학동로2길 17
한신플레서케어남부센터(심리검사 치료전문),서울 영등포구 신풍로 113
서울우리내과,서울 영등포구 신풍로 113
영등포구 보건소 분소,서울 영등포구 디지털로 441
미소라인치과,서울특별시 서대문구 통일로 450
홍제탑치과,서울 서대문구 통일로 448
푸른치과,서울 서대문구 연희로31길 3
연희이비인후과,서울 서대문구 연희로 117
비타민치과,서울특별시 구로구 개봉로 63
유치과의원,서울 구로구 구로동로 10
고시환클리닉,서울특별시 강남구 남부순환로 2936
윤민소아과의원,서울특별시 영등포구 도신로 90
로뎀나무내과의원,서울특별시 영등포구 영신로 259
언어학습연구소 정담,서울특별시 강남구 언주로30길 13
아동청소년 브레인트레이닝,서울특별시 강남구 압구정로32길 11
강남조앤조내과소아청소년과,서울특별시 강남구 강남대로 420
녹색병원 주민사랑방,서울 중랑구 사가정로49길 53
정인아동청소년 상담센터,서울특별시 강남구 남부순환로378길 18
광동한의원,서울 영등포구 국제금융로 70
신숙재심리상담연구소,서울 영등포구 영신로 259
샤론정신건강연구소,서울 서대문구 연대동문길 49
박경미아동발달센터,서울특별시 서대문구 통일로 358
명지통합치료연구센터,서울 서대문구 거북골로 34
김수연아기발달연구소,서울 서대문구 봉원사길 19
M&S미술색채심리상담,서울 마포구 토정로18길 11
연세피오니클리닉,서울 영등포구 의사당대로 108
킴앤리소아청소년과의원,서울특별시 영등포구 선유로 59
유앤이비인후과의원,서울특별시 강남구 논현로 84
연세우수의원 ,서울 영등포구 선유서로 35
(장위동) [영유아 건강검진 기관] 우리봄소아청소년과의원,서울특별시 성북구 월계로40길 7
조은내과,서울특별시 강남구 삼성로 38
함소아한의원강남본점,서울특별시 강남구 남부순환로 2911-1
골드원치과,서울 구로구 경인로47길 95-1
구로에이스치과,서울 구로구 경인로53길 57
마루치과,서울 구로구 새말로 110
AK치과,서울 구로구 구로중앙로 152
권경수내과 의원,서울특별시 구로구 경인로40길 34
박치과의원,서울 구로구 구로동로 34
연세키즈사랑치과,서울 강동구 고덕로 133
서울주니어치과,서울특별시 강남구 언주로 314
연세내과의원,서울특별시 구로구 구로동로26길 119
목동현대재활병원,서울 구로구 중앙로 91
(장위동) [영유아 건강검진 기관] 참이비인후과의원,서울특별시 성북구 장월로 146
(하월곡동) [어린이 한의원] 성북아이한의원,서울특별시 성북구 월계로 4
청담 365 의원,서울 중랑구 봉우재로 239
망우본동 건강드림센터,서울 중랑구 망우로67길 10
365 서울 연합 의원,서울 중랑구 망우로 463
연세내과의원,서울 구로구 구로동로 26
이디치과,서울 구로구 디지털로 300
순천향대학교 서울병원,서울 용산구 대사관로 59
우리동네 소아청소년과,서울시 용산구 이촌로 224
서울 이노치과의원,서울특별시 용산구 후암로 89 성사빌딩
정소아과의원,서울특별시 용산구 후암로 43-1
365그린약국,서울 강서구 강서로 43
방화프라자약국,서울특별시 강서구 양천로16길 16
인소아청소년과의원,서울 강서구 강서로 285
대현온누리약국,서울특별시 강서구 양천로 556
밝은약국,서울특별시 강서구 양천로 690
솔약국,서울특별시 강서구 양천로 564
큐브치과,서울 구로구 경인로 662
연세굿샘치과의원,서울 구로구 신도림로 2
이가온 치과,서울 구로구 경인로59길 8
365스마트의원,서울 구로구 경인로 482
구일굿모닝내과,서울특별시 구로구 구일로 110
나음누리 한의원,서울 구로구 구일로 110
우리웰치과의원,서울특별시 구로구 경인로 387
비타민클리닉,서울 중랑구 망우로 473
아산현소아청소년과,서울특별시 송파구 양산로 12
동진가정의학과의원,서울특별시 구로구 오리로 1297
온수의원,서울 구로구 부일로1길 26-13
맑은휴의원,서울 구로구 중앙로 100
연세수이비인후과,서울특별시 강남구 개포로 615
연세의원,"서울 구로구 도림로 29  1,2층"
우리소아청소년과 - 2018.8.7. 기준 (상일에이치내과 로 변경이전운영중),서울 강동구 상일로 74
맘스퀘어 산후조리원,서울 구로구 경인로 240
길 치과,서울 구로구 경인로15길 4
오디 한의원,서울 구로구 오류로 73
연세 쾌유 한의원,서울 구로구 경인로15길 4
강일보건지소,서울 강동구 아리수로93길 9-14
세정 치과,서울 구로구 고척로25길 35
참빛소아청소년과의원,서울 중랑구 상봉로 118
혜윰 한의원,서울 구로구 디지털로33길 11
윤치과,서울 구로구 서해안로 2338
연세 연합의원,서울 구로구 서해안로 2338
구로 미소 약국,서울 구로구 서해안로 2338
유디치과구로점,서울특별시 구로구 디지털로31길 38-21
삼성위드치과,서울 구로구 디지털로33길 27
자연-e 치과의원,서울 구로구 남부순환로 775
구로다나병원,서울 구로구 개봉로 126
한솔정형외과,서울 구로구 개봉로 13
베일리 이비인후과,서울 구로구 오리로 1149
호호 치과의원,서울 구로구 오리로 1149
이화산부인과(폐업),서울 구로구 개봉로 14
경인한방병원,서울 구로구 중앙로1길 18-18
덴타피아 치과,서울 구로구 개봉로20길 74
나플란트 치과,서울 구로구 남부순환로97길 20-6
삼성신내과의원,서울 구로구 남부순환로 775
보민 한의원,서울 구로구 도림로 57
명가 한의원,서울 구로구 개봉로 71
동서의원,서울 구로구 구일로10길 27
바른소아청소년과의원(폐업),서울 구로구 개봉로3길 76
나움누리 한의원,서울 구로구 구일로 110
나우가정의원,서울특별시 구로구 개봉로3길 61
감초당 한의원(폐업),서울 구로구 개봉로17길 7
아름제일여성병원(소아청소년과),서울 구로구 새말로 110
하나치과의원,서울 구로구 개봉로3길 35
연세사랑모아여성병원-산부인과,서울 구로구 중앙로 100
박현수 이비인후과의원,서울특별시 구로구 개봉로 9
그린 치과,서울특별시 구로구 개봉로10길 6-9
성신가정의학과의원,서울특별시 구로구 개봉로3길 35
홍익 한의원,서울 구로구 개봉로3길 41
경희 연 한의원,서울 구로구 개봉로3길 26
새봄정신건강의학과의원,서울 구로구 남부순환로97길 3
고운 한의원,서울 구로구 개봉로 67
개봉한의원,서울 구로구 개봉로 56
감초한의원,서울 구로구 구일로8길 56
양지한의원,서울 구로구 구일로8길 92
김관수산부인과의원,서울 구로구 개봉로 23
윤소아 청소년과 의원,서울 구로구 구로동로42길 58
화평 한의원,서울 구로구 경인로 382
홍익 한의원,서울 구로구 개봉로3길 41
허리편한의원,서울 구로구 남부순환로97길 3
개봉현대의원 (폐업),서울 구로구 개봉로 124
김경효 소아과 의원,서울 구로구 구일로8길 92
잠실 라렌느 산후조리원,서울 송파구 석촌호수로 156
연세사랑모아여성병원-산후조리원,서울 구로구 중앙로 100
메종드마망산후조리원,서울 송파구 중대로 317
라벨메르산후조리원,서울 송파구 송파대로49길 3
더퀸산후조리원,서울 송파구 백제고분로50길 7-7
맑은샘 신경정신과,양재대로 1655
연세사랑모아여성병원 소아청소년과,서울특별시 구로구 중앙로 100
해나심리상담연구소,원효로 205 고당빌딩 2층
용산구육아종합지원센터-치료실,서울특별시 용산구 백범로 329
서울에스치과,서울 송파구 올림픽로 119
가브리엘치과의원,서울 송파구 마천로 61
의료법인  청구성심병원,서울 은평구 통일로 873
강석경 소아청소년과의원,서울 은평구 불광로 54
구파발연세 내과의원, 진관2로 29-21
기분좋은연세365의원,서울특별시 은평구 응암로 223
김가정의학과의원, 은평로 5
김성훈 가정의학과의원,서울특별시 은평구 갈현로41길 10-1
김소아과의원, 수색로 274
김영환내과의원, 은평로 242
김우요내과의원, 응암로 192
김원중내과의원, 응암로 248
김인범 이비인후과의원, 통일로 739
김재만내과의원, 응암로 179
김혜옥내과의원, 응암로 213
노내과의원,서울특별시 은평구 통일로 839
늘편한내과의원, 갈현로 8
도티기념병원, 백련산로14길 20-11
꿈나무가정의원,서울특별시 은평구 갈현로 14
나이비인후과의원, 통일로 738-1
명인의원, 불광로 104
모아가정의학과의원, 역말로 135
백소아청소년과의원, 불광로 25 
백수진가정의학과의원, 은평터널로 65 대림한숲타운아파트 
불광연세가정의학과의원,서울 은평구 불광로 8
삼성서울키즈 소아청소년과의원, 백련산로 84
삼성속편한의원, 응암로 217 2층
삼성키즈 소아청소년과의원, 진관2로 57-7
새빛소아청소년과의원,서울특별시 은평구 수색로 250
서부성모의원,서울 은평구 불광로 60
서부성심의원, 진흥로 91  
서울다나의원, 진흥로1길 2 
서울삼성내과의원,서울 은평구 서오릉로 203
서울에코소아청소년과의원, 진관3로 37  
서울특별시서북병원,서울특별시 은평구 갈현로7길 49
수내과의원,서울특별시 은평구 은평로 123
아이제일산부인과의원, 서오릉로 81  
연세가정의원, 증산로3길 6
연세 가정의학과의원, 연서로 1
연세가족사랑의원,서울특별시 은평구 갈현로 82
연세라온 소아청소년과의원, 진관3로 70
연세예일의원,서울특별시 은평구 서오릉로 138
영소아 청소년과의원, 은평로 11  
연세밝은아이 치과,서울 광진구 자양로 87
라비아피부과 건대점 - 구 라마르피부과,서울 광진구 아차산로 220
리더스 피부과의원 (건대스타시티),서울 광진구 능동로 90
김재선피부과,서울 광진구 뚝섬로 690
중곡종합 건강센터,서울 광진구 긴고랑로 110
  광진구보건소,서울특별시 광진구 자양로 117
